State,Head of state,Head of government
Afghanistan,Supreme Leader – Hibatullah Akhundzada,Acting Prime Minister – Hasan Akhund
Albania,President – Bajram Begaj,Prime Minister – Edi Rama
Algeria,President – Abdelmadjid Tebboune,Prime Minister – Aymen Benabderrahmane
Andorra,"Episcopal Co-Prince – Joan Enric Vives i Sicília
Co-Prince's Representative – Josep Maria Mauri
French Co-Prince – Emmanuel Macron
Co-Prince's Representative – Patrick Strzoda",Prime Minister – Xavier Espot Zamora
Angola,President – João Lourenço,President – João Lourenço
Antigua and Barbuda,"King – Charles III
Governor-General – Sir Rodney Williams",Prime Minister – Gaston Browne
Argentina,President – Alberto Fernández,President – Alberto Fernández
Armenia,President – Vahagn Khachaturyan,Prime Minister – Nikol Pashinyan
Australia,"King – Charles III
Governor-General – David Hurley",Prime Minister – Anthony Albanese
Austria,President – Alexander Van der Bellen,Chancellor – Karl Nehammer
Azerbaijan,President – Ilham Aliyev,Prime Minister – Ali Asadov
"Bahamas, The","King – Charles III
Governor-General – Sir Cornelius A. Smith",Prime Minister – Philip Davis
Bahrain,King – Sheikh Hamad bin Isa Al Khalifa,Prime Minister – Prince Salman bin Hamad Al Khalifa
Bangladesh,President – Abdul Hamid,Prime Minister – Sheikh Hasina
Barbados,President – Dame Sandra Mason,Prime Minister – Mia Mottley
Belarus,President – Alexander Lukashenko,President – Alexander Lukashenko
Belgium,King – Philippe,Prime Minister – Alexander De Croo
Belize,"King – Charles III
Governor-General – Dame Froyla Tzalam",Prime Minister – Johnny Briceño
Benin,President – Patrice Talon,President – Patrice Talon
Bhutan,King – Jigme Khesar Namgyel Wangchuck,Prime Minister – Lotay Tshering
Bolivia,President – Luis Arce,President – Luis Arce
Bosnia and Herzegovina,High Representative – Christian Schmidt,High Representative – Christian Schmidt
Bosnia and Herzegovina,Presidency,Prime Minister – Zoran Tegeltija
Bosnia and Herzegovina,Željka Cvijanović (as Chairwoman),Prime Minister – Zoran Tegeltija
Bosnia and Herzegovina,"Denis Bećirović (as Member)
Željko Komšić (as Member)",Prime Minister – Zoran Tegeltija
Botswana,President – Mokgweetsi Masisi,President – Mokgweetsi Masisi
Brazil,President – Jair Bolsonaro,President – Jair Bolsonaro
Brazil,President-elect – Luiz Inácio Lula da Silva,President-elect – Luiz Inácio Lula da Silva
Brunei,Sultan and Prime Minister – Hassanal Bolkiah,Sultan and Prime Minister – Hassanal Bolkiah
Bulgaria,President – Rumen Radev,Prime Minister – Galab Donev
Burkina Faso,President of the Patriotic Movement for Safeguard and Restoration – Ibrahim Traoré,President of the Patriotic Movement for Safeguard and Restoration – Ibrahim Traoré
Burkina Faso,Interim President – Ibrahim Traoré,Interim Prime Minister – Apollinaire Joachim Kyélem de Tambèla
Burundi,President – Évariste Ndayishimiye,Prime Minister – Gervais Ndirakobuca
Cambodia,King – Norodom Sihamoni,Prime Minister – Hun Sen
Cameroon,President – Paul Biya,Prime Minister – Joseph Ngute
Canada,"King – Charles III
Governor General – Mary Simon",Prime Minister – Justin Trudeau
Cape Verde,President – José Maria Neves,Prime Minister – Ulisses Correia e Silva
Central African Republic,President – Faustin-Archange Touadéra,Prime Minister – Félix Moloua
Chad,Transitional President – Mahamat Déby,Prime Minister – Saleh Kebzabo
Chile,President – Gabriel Boric,President – Gabriel Boric
China,General Secretary of the Communist Party – Xi Jinping,General Secretary of the Communist Party – Xi Jinping
China,President – Xi Jinping,"Premier – Li Keqiang
Premier-designate – Li Qiang"
Colombia,President – Gustavo Petro,President – Gustavo Petro
Comoros,President – Azali Assoumani,President – Azali Assoumani
"Congo, Democratic Republic of the",President – Félix Tshisekedi,Prime Minister – Jean-Michel Sama Lukonde
"Congo, Republic of the",President – Denis Sassou Nguesso,Prime Minister – Anatole Collinet Makosso
Costa Rica,President – Rodrigo Chaves Robles,President – Rodrigo Chaves Robles
Croatia,President – Zoran Milanović,Prime Minister – Andrej Plenković
Cuba,First Secretary of the Communist Party – Miguel Díaz-Canel,First Secretary of the Communist Party – Miguel Díaz-Canel
Cuba,President – Miguel Díaz-Canel,Prime Minister – Manuel Marrero Cruz
Cyprus,President – Nicos Anastasiades,President – Nicos Anastasiades
Czech Republic,President – Miloš Zeman,Prime Minister – Petr Fiala
Denmark,Queen – Margrethe II,Prime Minister – Mette Frederiksen
Djibouti,President – Ismaïl Omar Guelleh,Prime Minister – Abdoulkader Kamil Mohamed
Dominica,President – Charles Savarin,Prime Minister – Roosevelt Skerrit
Dominican Republic,President – Luis Abinader,President – Luis Abinader
East Timor,President – José Ramos-Horta,Prime Minister – Taur Matan Ruak
Ecuador,President – Guillermo Lasso,President – Guillermo Lasso
Egypt,President – Abdel Fattah el-Sisi,Prime Minister – Mostafa Madbouly
El Salvador,President – Nayib Bukele,President – Nayib Bukele
Equatorial Guinea,President – Teodoro Obiang Nguema Mbasogo,Prime Minister – Francisco Pascual Obama Asue
Eritrea,Chairman of the People's Front for Democracy and Justice – Isaias Afwerki,Chairman of the People's Front for Democracy and Justice – Isaias Afwerki
Eritrea,President – Isaias Afwerki,President – Isaias Afwerki
Estonia,President – Alar Karis,Prime Minister – Kaja Kallas
Eswatini,King – Mswati III,Acting Prime Minister – Cleopas Dlamini
Ethiopia,President – Sahle-Work Zewde,Prime Minister – Abiy Ahmed
Fiji,President – Ratu Wiliame Katonivere,Prime Minister – Frank Bainimarama
Finland,President – Sauli Niinistö,Prime Minister – Sanna Marin
France,President – Emmanuel Macron,Prime Minister – Élisabeth Borne
Gabon,President – Ali Bongo Ondimba,Prime Minister – Rose Christiane Raponda
"Gambia, The",President – Adama Barrow,President – Adama Barrow
Georgia,President – Salome Zourabichvili,Prime Minister – Irakli Garibashvili
Germany,President – Frank-Walter Steinmeier,Chancellor – Olaf Scholz
Ghana,President – Nana Akufo-Addo,President – Nana Akufo-Addo
Greece,President – Katerina Sakellaropoulou,Prime Minister – Kyriakos Mitsotakis
Grenada,"King – Charles III
Governor-General – Dame Cécile La Grenade",Prime Minister – Dickon Mitchell
Guatemala,President – Alejandro Giammattei,President – Alejandro Giammattei
Guinea,Chairman of the National Committee of Reconciliation and Development – Mamady Doumbouya,Chairman of the National Committee of Reconciliation and Development – Mamady Doumbouya
Guinea,Interim President – Mamady Doumbouya,Interim Prime Minister – Bernard Gomou
Guinea-Bissau,President – Umaro Sissoco Embaló,Prime Minister – Nuno Gomes Nabiam
Guyana,President – Irfaan Ali,Prime Minister – Mark Phillips
Haiti,Interim President – Ariel Henry,Prime Minister – Ariel Henry
Honduras,President – Xiomara Castro,President – Xiomara Castro
Hungary,President – Katalin Novák,Prime Minister – Viktor Orbán
Iceland,President – Guðni Th. Jóhannesson,Prime Minister – Katrín Jakobsdóttir
India,President – Droupadi Murmu,Prime Minister – Narendra Modi
Indonesia,President – Joko Widodo,President – Joko Widodo
Iran,Supreme Leader – Ali Khamenei,President – Ebrahim Raisi
Iraq,President – Abdul Latif Rashid,Prime Minister – Mohammed Shia' Al Sudani
Ireland,President – Michael D. Higgins,Taoiseach – Micheál Martin
Ireland,President – Michael D. Higgins,Taoiseach-designate – Leo Varadkar
Israel,President – Isaac Herzog,Prime Minister – Yair Lapid
Israel,President – Isaac Herzog,Prime minister-designate – Benjamin Netanyahu
Italy,President – Sergio Mattarella,Prime Minister – Giorgia Meloni
Ivory Coast,President – Alassane Ouattara,Prime Minister – Patrick Achi
Jamaica,"King – Charles III
Governor-General – Sir Patrick Allen",Prime Minister – Andrew Holness
Japan,Emperor – Naruhito,Prime Minister – Fumio Kishida
Jordan,King – Abdullah II,Prime Minister – Bisher Al-Khasawneh
Kazakhstan,President – Qasym-Zhomart Toqaev,Prime Minister – Älihan Smaiylov
Kenya,President – William Ruto,President – William Ruto
Kiribati,President – Taneti Maamau,President – Taneti Maamau
Kuwait,Emir – Sheikh Nawaf Al-Ahmad Al-Jaber Al-Sabah,Prime Minister – Sheikh Ahmad Nawaf Al-Ahmad Al-Sabah
Kyrgyzstan,President – Sadyr Japarov,Chairman of the Cabinet of Ministers – Akylbek Japarov
Laos,General Secretary of the People's Revolutionary Party – Thongloun Sisoulith,General Secretary of the People's Revolutionary Party – Thongloun Sisoulith
Laos,President – Thongloun Sisoulith,Prime Minister – Phankham Viphavanh
Latvia,President – Egils Levits,Prime Minister – Krišjānis Kariņš
Lebanon,Acting President – Najib Mikati,Prime Minister – Najib Mikati
Lesotho,King – Letsie III,Prime Minister – Sam Matekane
Liberia,President – George Weah,President – George Weah
Libya,Chairman of the Presidential Council – Mohamed al-Menfi,Prime Minister – Abdul Hamid Dbeibeh
Liechtenstein,Prince Regnant – Hans-Adam II,Prime Minister – Daniel Risch
Liechtenstein,Regent – Hereditary Prince Alois,Prime Minister – Daniel Risch
Lithuania,President – Gitanas Nausėda,Prime Minister – Ingrida Šimonytė
Luxembourg,Grand Duke – Henri,Prime Minister – Xavier Bettel
Madagascar,President – Andry Rajoelina,Prime Minister – Christian Ntsay
Malawi,President – Lazarus Chakwera,President – Lazarus Chakwera
Malaysia,Yang di-Pertuan Agong – Abdullah Sultan Ahmad Shah,Prime Minister – Anwar Ibrahim
Maldives,President – Ibrahim Mohamed Solih,President – Ibrahim Mohamed Solih
Mali,Interim President – Assimi Goïta,Interim Prime Minister – Abdoulaye Maïga
Malta,President – George Vella,Prime Minister – Robert Abela
Marshall Islands,President – David Kabua,President – David Kabua
Mauritania,President – Mohamed Ould Ghazouani,Prime Minister – Mohamed Ould Bilal
Mauritius,President – Prithvirajsing Roopun,Prime Minister – Pravind Jugnauth
Mexico,President – Andrés Manuel López Obrador,President – Andrés Manuel López Obrador
Federated States of Micronesia,President – David W. Panuelo,President – David W. Panuelo
Moldova,President – Maia Sandu,Prime Minister – Natalia Gavrilița
Monaco,Sovereign Prince – Albert II,Minister of State – Pierre Dartout
Mongolia,President – Ukhnaagiin Khürelsükh,Prime Minister – Luvsannamsrain Oyun-Erdene
Montenegro,President – Milo Đukanović,Prime Minister – Dritan Abazović
Morocco,King – Mohammed VI,Prime Minister – Aziz Akhannouch
Mozambique,President – Filipe Nyusi,Prime Minister – Adriano Maleiane
Myanmar,Chairman of the State Administration Council – Min Aung Hlaing,Chairman of the State Administration Council – Min Aung Hlaing
Myanmar,Acting President – Myint Swe,Prime Minister – Min Aung Hlaing
Namibia,President – Hage Geingob,Prime Minister – Saara Kuugongelwa
Nauru,President – Russ Kun,President – Russ Kun
Nepal,President – Bidya Devi Bhandari,Prime Minister – Sher Bahadur Deuba
Netherlands,King – Willem-Alexander,Prime Minister – Mark Rutte
New Zealand,"King – Charles III
Governor-General – Dame Cindy Kiro",Prime Minister – Jacinda Ardern
Nicaragua,President – Daniel Ortega,President – Daniel Ortega
Niger,President – Mohamed Bazoum,Prime Minister – Ouhoumoudou Mahamadou
Nigeria,President – Muhammadu Buhari,President – Muhammadu Buhari
North Korea,General Secretary of the Workers' Party of Korea – Kim Jong-un,General Secretary of the Workers' Party of Korea – Kim Jong-un
North Korea,President of the State Affairs Commission – Kim Jong-un,Premier – Kim Tok-hun
North Macedonia,President – Stevo Pendarovski,Prime Minister – Dimitar Kovačevski
Norway,King – Harald V,Prime Minister – Jonas Gahr Støre
Oman,Sultan and Prime Minister – Haitham bin Tariq,Sultan and Prime Minister – Haitham bin Tariq
Pakistan,President – Arif Alvi,Prime Minister – Shehbaz Sharif
Palau,President – Surangel Whipps Jr.,President – Surangel Whipps Jr.
Palestine,President – Mahmoud Abbas,Prime Minister – Mohammad Shtayyeh
Panama,President – Laurentino Cortizo,President – Laurentino Cortizo
Papua New Guinea,"King – Charles III
Governor-General – Sir Bob Dadae",Prime Minister – James Marape
Paraguay,President – Mario Abdo Benítez,President – Mario Abdo Benítez
Peru,President – Dina Boluarte,President – Dina Boluarte
Philippines,President – Bongbong Marcos,President – Bongbong Marcos
Poland,President – Andrzej Duda,Prime Minister – Mateusz Morawiecki
Portugal,President – Marcelo Rebelo de Sousa,Prime Minister – António Costa
Qatar,Emir – Sheikh Tamim bin Hamad Al Thani,Prime Minister – Sheikh Khalid bin Khalifa bin Abdul Aziz Al Thani
Romania,President – Klaus Iohannis,Prime Minister – Nicolae Ciucă
Russia,President – Vladimir Putin,Prime Minister – Mikhail Mishustin
Rwanda,President – Paul Kagame,Prime Minister – Édouard Ngirente
Saint Kitts and Nevis,"King – Charles III
Governor-General – Sir Tapley Seaton",Prime Minister – Terrance Drew
Saint Lucia,"King – Charles III
Acting Governor-General – Errol Charles",Prime Minister – Philip J. Pierre
Saint Vincent and the Grenadines,"King – Charles III
Governor-General – Dame Susan Dougan",Prime Minister – Ralph Gonsalves
Samoa,O le Ao o le Malo – Afioga Tuimalealiʻifano Vaʻaletoʻa Sualauvi II,Prime Minister – Fiamē Naomi Mataʻafa
San Marino,Captain Regent – Maria Luisa Berti,Secretary for Foreign and Political Affairs – Luca Beccari
San Marino,Captain Regent – Manuel Ciavatta,Secretary for Foreign and Political Affairs – Luca Beccari
São Tomé and Príncipe,President – Carlos Vila Nova,Prime Minister – Patrice Trovoada
Saudi Arabia,King – Salman,Prime Minister – Mohammed bin Salman
Senegal,President – Macky Sall,Prime Minister – Amadou Ba
Serbia,President – Aleksandar Vučić,Prime Minister – Ana Brnabić
Seychelles,President – Wavel Ramkalawan,President – Wavel Ramkalawan
Sierra Leone,President – Julius Maada Bio,Chief Minister – Jacob Jusu Saffa
Singapore,President – Halimah Yacob,Prime Minister – Lee Hsien Loong
Slovakia,President – Zuzana Čaputová,Prime Minister – Eduard Heger
Slovenia,"President – Borut Pahor
President-elect – Nataša Pirc Musar",Prime Minister – Robert Golob
Solomon Islands,"King – Charles III
Governor-General – Sir David Vunagi",Prime Minister – Manasseh Sogavare
Somalia,President – Hassan Sheikh Mohamud,Prime Minister – Hamza Abdi Barre
South Africa,President – Cyril Ramaphosa,President – Cyril Ramaphosa
South Korea,President – Yoon Suk-yeol,President – Yoon Suk-yeol
South Sudan,President – Salva Kiir Mayardit,President – Salva Kiir Mayardit
Spain,King – Felipe VI,Prime Minister – Pedro Sánchez
Sri Lanka,President – Ranil Wickremesinghe,President – Ranil Wickremesinghe
Sudan,Chairman of the Transitional Sovereignty Council – Abdel Fattah al-Burhan,Acting Prime Minister – Osman Hussein
Suriname,President – Chan Santokhi,President – Chan Santokhi
Sweden,King – Carl XVI Gustaf,Prime Minister – Ulf Kristersson
Switzerland,Federal Council,Federal Council
Switzerland,"Members: 
Ignazio Cassis (President)
Alain Berset (Vice President)
Ueli Maurer
Simonetta Sommaruga
Guy Parmelin
Karin Keller-Sutter
Viola Amherd","Members: 
Ignazio Cassis (President)
Alain Berset (Vice President)
Ueli Maurer
Simonetta Sommaruga
Guy Parmelin
Karin Keller-Sutter
Viola Amherd"
Switzerland,"Members-elect of the Federal Council: 
Albert Rösti
Élisabeth Baume-Schneider","Members-elect of the Federal Council: 
Albert Rösti
Élisabeth Baume-Schneider"
Syria,President – Bashar al-Assad,Prime Minister – Hussein Arnous
Tajikistan,President – Emomali Rahmon,Prime Minister – Kokhir Rasulzoda
Tanzania,President – Samia Suluhu Hassan,Prime Minister – Kassim Majaliwa
Thailand,King – Maha Vajiralongkorn,Prime Minister – Prayut Chan-o-cha
Togo,President – Faure Gnassingbé,Prime Minister – Victoire Tomegah Dogbé
Tonga,King – Tupou VI,Prime Minister – Siaosi Sovaleni
Trinidad and Tobago,President – Paula-Mae Weekes,Prime Minister – Keith Rowley
Tunisia,President – Kaïs Saïed,Prime Minister – Najla Bouden
Turkey,President – Recep Tayyip Erdoğan,President – Recep Tayyip Erdoğan
Turkmenistan,President – Serdar Berdimuhamedow,President – Serdar Berdimuhamedow
Tuvalu,"King – Charles III
Governor-General – Sir Tofiga Vaevalu Falani",Prime Minister – Kausea Natano
Uganda,President – Yoweri Museveni,Prime Minister – Robinah Nabbanja
Ukraine,President – Volodymyr Zelenskyy,Prime Minister – Denys Shmyhal
United Arab Emirates,President – Sheikh Mohamed bin Zayed Al Nahyan,Prime Minister – Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,King – Charles III,Prime Minister – Rishi Sunak
United States,President – Joe Biden,President – Joe Biden
Uruguay,President – Luis Lacalle Pou,President – Luis Lacalle Pou
Uzbekistan,President – Shavkat Mirziyoyev,Prime Minister – Abdulla Aripov
Vanuatu,President – Nikenike Vurobaravu,Prime Minister – Ishmael Kalsakau
Vatican City,Sovereign – Pope Francis,President of the Governorate – Cardinal Fernando Vérgez Alzaga
Venezuela,President – Nicolás Maduro,President – Nicolás Maduro
Vietnam,General Secretary of the Communist Party – Nguyễn Phú Trọng,General Secretary of the Communist Party – Nguyễn Phú Trọng
Vietnam,President – Nguyễn Xuân Phúc,Prime Minister – Phạm Minh Chính
Yemen,Chairman of the Presidential Leadership Council – Rashad al-Alimi,Prime Minister – Maeen Abdulmalik Saeed
Zambia,President – Hakainde Hichilema,President – Hakainde Hichilema
Zimbabwe,President – Emmerson Mnangagwa,President – Emmerson Mnangagwa
